income,loan_amount,monthly_units,vehicle_type,eco_score,loan_status,job_type,loan_history,fuel_type,credit_score
44000.0,15000.0,376,1,2,1,Self,No History,Electric,712
65000.0,16000.0,422,1,2,0,Self,Ongoing,Electric,643
75000.0,24250.0,296,1,2,0,Govt,No History,Electric,727
98000.0,12000.0,558,0,1,1,MNC,Paid,Petrol,792
79000.0,25000.0,486,0,1,0,MNC,Ongoing,Petrol,600
118000.0,16800.0,531,0,0,0,Self,No History,Diesel,660
59000.0,7000.0,120,1,2,1,Self,No History,Petrol,698
52000.0,21000.0,235,0,1,1,MNC,Paid,Diesel,778
195000.0,27500.0,286,0,1,1,Self,Ongoing,Diesel,662
72500.0,7200.0,188,0,2,1,Govt,Ongoing,Electric,603
110000.0,20000.0,389,0,2,1,Govt,No History,Electric,682
70000.0,20000.0,457,0,2,1,MNC,No History,Electric,687
55000.0,10000.0,230,1,2,0,Govt,Ongoing,Electric,603
142000.0,16000.0,100,0,2,0,MNC,Ongoing,Petrol,614
75000.0,20000.0,339,1,1,1,Govt,No History,Diesel,655
100000.0,8650.0,339,1,1,1,MNC,No History,Diesel,704
54649.0,21000.0,111,1,2,1,MNC,Paid,Petrol,776
55000.0,7200.0,540,0,0,1,Self,Paid,Diesel,759
92000.0,8800.0,143,0,2,1,Self,Ongoing,Diesel,688
43160.0,14650.0,138,0,2,0,Govt,Ongoing,Electric,671
50000.0,2500.0,199,1,2,1,MNC,No History,Diesel,682
69000.0,11000.0,333,0,2,1,Govt,Ongoing,Petrol,602
68046.0,23850.0,467,1,2,0,Self,Paid,Electric,705
48000.0,15700.0,472,1,2,0,Self,Paid,Electric,704
60000.0,28800.0,292,0,2,0,MNC,No History,Petrol,709
91392.0,10000.0,503,1,0,1,Self,No History,Diesel,717
77900.0,24000.0,184,0,2,0,MNC,No History,Petrol,651
75000.0,28000.0,139,0,2,1,Self,Ongoing,Electric,666
128000.0,35000.0,316,1,2,1,Govt,Paid,Petrol,790
50000.0,7200.0,128,0,2,1,Self,No History,Electric,655
40100.0,10000.0,527,0,1,1,MNC,Ongoing,Petrol,686
42000.0,16000.0,211,0,2,0,Govt,No History,Electric,653
47590.0,21875.0,313,0,2,1,Self,Paid,Petrol,708
39000.0,14025.0,430,0,0,1,MNC,Paid,Diesel,718
106000.0,35000.0,452,0,1,0,Self,No History,Petrol,679
145000.0,20000.0,483,0,1,1,MNC,Ongoing,Petrol,669
60000.0,14000.0,438,1,0,0,Govt,Paid,Diesel,717
62000.0,16000.0,564,0,1,0,Self,No History,Petrol,654
85000.0,28000.0,486,0,1,0,Govt,Ongoing,Petrol,678
70000.0,20000.0,293,0,2,0,MNC,Paid,Petrol,754
44000.0,17600.0,535,1,1,0,Self,Paid,Petrol,735
102500.0,4200.0,315,0,2,1,Self,Paid,Petrol,713
75000.0,19000.0,188,1,2,1,MNC,No History,Diesel,656
45000.0,15850.0,162,0,2,1,Self,No History,Diesel,705
42500.0,10000.0,278,0,2,0,Self,Paid,Petrol,769
175000.0,30000.0,201,0,1,1,Self,Paid,Diesel,755
45000.0,1500.0,568,1,0,1,Govt,No History,Diesel,709
150000.0,25000.0,510,1,0,1,Govt,Paid,Diesel,783
50000.0,16250.0,523,1,1,0,Govt,No History,Petrol,690
60000.0,20200.0,482,1,1,0,Self,No History,Petrol,658
70000.0,23975.0,161,0,2,0,MNC,No History,Petrol,655
65000.0,15000.0,223,1,1,1,Govt,Paid,Diesel,714
41600.0,10000.0,211,1,2,1,Self,Ongoing,Electric,668
110000.0,15000.0,413,0,0,1,Self,No History,Diesel,717
110000.0,23100.0,560,0,2,0,Self,No History,Electric,659
65000.0,27300.0,344,0,2,0,Self,Paid,Electric,733
135000.0,25000.0,332,1,2,1,MNC,Paid,Electric,763
40000.0,15000.0,179,1,2,1,Govt,Ongoing,Petrol,634
30000.0,10000.0,334,1,2,1,MNC,No History,Petrol,707
70000.0,18500.0,125,0,2,1,Self,No History,Diesel,698
32000.0,5000.0,595,0,0,1,MNC,Paid,Diesel,759
50000.0,9000.0,377,0,2,1,MNC,Ongoing,Electric,621
85000.0,11000.0,285,0,2,1,Govt,Ongoing,Petrol,665
55000.0,20000.0,134,0,2,1,MNC,Paid,Diesel,753
80000.0,15000.0,433,0,2,1,Self,Paid,Electric,742
53750.0,12000.0,166,1,2,1,Govt,Ongoing,Electric,613
45000.0,8000.0,519,1,1,1,Govt,Paid,Petrol,767
40000.0,12000.0,427,1,2,1,MNC,Paid,Electric,795
75000.0,18000.0,219,0,2,1,Self,No History,Petrol,660
85000.0,3600.0,217,1,2,1,Govt,Ongoing,Electric,656
20000.0,7200.0,425,1,1,0,MNC,Ongoing,Petrol,647
77213.0,15000.0,382,1,2,1,MNC,Ongoing,Petrol,661
72000.0,5000.0,203,1,2,1,Govt,Paid,Petrol,768
38000.0,11550.0,585,0,0,0,Govt,Ongoing,Diesel,688
104000.0,33600.0,238,1,2,1,Govt,Ongoing,Electric,654
39000.0,17925.0,536,0,0,0,MNC,Ongoing,Diesel,649
39750.0,17475.0,513,1,0,0,Govt,No History,Diesel,677
47000.0,9000.0,569,0,1,1,Govt,Ongoing,Petrol,663
65000.0,12000.0,252,0,2,1,MNC,No History,Petrol,717
44500.0,4000.0,422,1,0,1,Self,Paid,Diesel,727
70100.0,10500.0,307,0,2,1,Govt,Paid,Electric,799
100000.0,14000.0,128,1,2,1,Self,Ongoing,Petrol,605
105000.0,6000.0,302,1,1,1,Self,Paid,Diesel,737
90000.0,16000.0,195,0,2,0,Govt,Ongoing,Diesel,610
92000.0,15000.0,323,1,1,1,Self,Ongoing,Diesel,650
39400.0,12000.0,558,1,2,1,Govt,Paid,Electric,705
33000.0,10000.0,389,1,2,1,Govt,No History,Petrol,666
32000.0,4200.0,457,0,1,1,Self,Ongoing,Petrol,603
120000.0,35000.0,444,0,1,1,Govt,Paid,Petrol,712
108000.0,5475.0,591,1,2,0,Govt,Paid,Electric,763
60000.0,16000.0,222,0,2,0,Self,No History,Petrol,667
38700.0,6000.0,394,1,2,1,Govt,Paid,Electric,745
75000.0,24000.0,496,0,1,1,Self,Ongoing,Petrol,651
60000.0,10000.0,342,1,2,1,Self,Paid,Petrol,736
80000.0,6900.0,397,1,2,1,MNC,No History,Petrol,677
48000.0,22400.0,109,1,2,0,Govt,Paid,Petrol,740
58800.0,15975.0,108,1,2,1,MNC,Ongoing,Petrol,612
54000.0,21600.0,389,0,1,1,Govt,Ongoing,Diesel,661
82193.0,24000.0,376,1,2,0,Govt,Paid,Petrol,781
73320.0,14400.0,231,1,1,0,Self,Paid,Diesel,714
42000.0,8000.0,596,0,2,1,Self,Paid,Electric,740
83000.0,7000.0,101,1,2,1,Govt,Ongoing,Diesel,659
55000.0,20000.0,228,0,2,1,Govt,Ongoing,Electric,628
68000.0,25825.0,163,0,2,0,Self,No History,Electric,727
92000.0,24575.0,271,0,2,1,MNC,Ongoing,Electric,681
30407.0,3200.0,102,1,2,1,Govt,No History,Petrol,671
137000.0,22875.0,133,1,2,1,Self,Ongoing,Diesel,621
80000.0,16000.0,118,0,2,0,Self,Paid,Electric,718
125000.0,35000.0,563,1,1,1,Self,Ongoing,Petrol,624
52000.0,2400.0,527,0,1,1,Self,No History,Petrol,685
132000.0,25000.0,405,1,0,1,Govt,No History,Diesel,655
55000.0,8800.0,373,1,1,1,Govt,No History,Diesel,695
16488.0,2500.0,122,0,2,1,Self,Paid,Petrol,706
50000.0,8000.0,386,0,2,1,Self,Ongoing,Petrol,639
78000.0,20000.0,112,0,2,0,MNC,No History,Diesel,707
110000.0,35000.0,433,1,0,0,MNC,Paid,Diesel,747
45000.0,15000.0,248,0,2,1,Govt,No History,Petrol,720
70000.0,16000.0,399,0,2,0,MNC,No History,Petrol,722
40000.0,10800.0,124,0,2,1,Govt,Paid,Petrol,747
15000.0,7500.0,511,0,2,1,Govt,Paid,Electric,787
63000.0,16000.0,433,1,0,0,MNC,No History,Diesel,654
49000.0,9000.0,533,0,0,1,Govt,Ongoing,Diesel,672
28000.0,9500.0,416,1,2,1,Self,No History,Electric,679
25000.0,10000.0,159,1,2,0,Self,Ongoing,Electric,689
49000.0,6000.0,558,0,0,1,Govt,No History,Diesel,659
52000.0,15600.0,292,1,2,1,Govt,No History,Electric,724
90000.0,35000.0,426,0,1,1,MNC,Ongoing,Petrol,602
78000.0,5000.0,421,0,1,1,MNC,Paid,Petrol,705
75000.0,20400.0,253,0,2,1,Govt,Paid,Petrol,764
33130.0,8000.0,532,0,2,0,Govt,Ongoing,Electric,630
87500.0,16000.0,585,0,2,1,Self,Paid,Electric,767
80000.0,18000.0,376,0,1,0,MNC,Ongoing,Diesel,664
105000.0,35000.0,550,0,0,1,Self,No History,Diesel,667
40000.0,13150.0,232,1,2,1,Self,No History,Electric,711
48000.0,5600.0,529,0,1,1,MNC,Ongoing,Petrol,657
90247.0,23000.0,202,1,2,1,MNC,Ongoing,Electric,673
175000.0,12600.0,134,1,2,1,MNC,Ongoing,Electric,611
55000.0,11000.0,450,1,2,1,Govt,No History,Electric,666
41501.0,4000.0,441,0,0,1,Govt,No History,Diesel,710
75000.0,20000.0,121,1,2,0,MNC,Ongoing,Electric,648
60000.0,20000.0,537,0,2,1,Self,No History,Electric,667
59307.0,10000.0,573,0,1,1,MNC,No History,Petrol,725
55000.0,18850.0,429,1,0,0,MNC,Ongoing,Diesel,658
82000.0,21000.0,256,0,1,1,MNC,Paid,Diesel,732
60000.0,10500.0,232,0,2,1,MNC,Paid,Petrol,727
56000.0,4575.0,485,0,0,0,MNC,No History,Diesel,657
17000.0,5000.0,393,1,2,1,Self,Ongoing,Petrol,676
45000.0,8000.0,108,1,2,1,Self,No History,Diesel,661
30000.0,5000.0,543,0,2,0,Self,No History,Electric,664
40000.0,9075.0,335,1,1,1,MNC,Ongoing,Diesel,624
75181.21,24000.0,527,1,0,0,MNC,Paid,Diesel,789
52000.0,12500.0,478,0,0,1,Self,Paid,Diesel,723
80000.0,19600.0,288,0,2,0,MNC,No History,Electric,689
90000.0,35000.0,511,0,1,1,Self,Ongoing,Petrol,686
75000.0,28000.0,505,0,1,1,Govt,No History,Petrol,678
45500.0,14000.0,213,0,1,0,Govt,No History,Diesel,684
99906.0,16000.0,418,0,0,1,Govt,Ongoing,Diesel,616
120000.0,14000.0,461,1,1,1,MNC,Paid,Petrol,793
72000.0,24000.0,548,0,1,1,Govt,Ongoing,Petrol,665
75000.0,35000.0,414,1,1,1,Self,No History,Petrol,684
70000.0,14550.0,373,1,1,0,Govt,Ongoing,Diesel,660
21610.0,8000.0,577,1,2,1,Self,Ongoing,Electric,672
106284.0,32400.0,131,0,2,0,Self,No History,Petrol,671
25000.0,3600.0,448,0,1,1,MNC,No History,Petrol,699
110000.0,10500.0,598,0,2,1,Self,No History,Electric,719
105000.0,3000.0,492,1,1,1,MNC,No History,Petrol,704
43000.0,16000.0,106,1,2,1,Govt,No History,Diesel,700
57000.0,8000.0,156,1,2,1,Self,Ongoing,Petrol,616
85000.0,19500.0,183,1,2,1,Govt,No History,Diesel,663
140000.0,2000.0,389,0,1,1,Govt,Paid,Diesel,763
96000.0,16000.0,569,1,1,1,MNC,No History,Petrol,673
122400.0,3500.0,401,1,1,1,MNC,No History,Petrol,716
94000.0,14000.0,555,0,2,0,MNC,Paid,Electric,730
95000.0,24000.0,221,0,2,1,Govt,No History,Electric,730
120000.0,6000.0,266,1,1,1,Self,No History,Diesel,728
100000.0,24000.0,398,0,2,1,Self,Ongoing,Electric,686
37231.0,14875.0,574,0,0,0,Govt,Paid,Diesel,784
45000.0,10000.0,330,1,2,1,Govt,Paid,Petrol,717
93000.0,15000.0,167,0,2,1,Self,No History,Electric,686
68000.0,10000.0,269,1,1,1,Self,No History,Diesel,723
97000.0,18000.0,505,1,0,0,Govt,No History,Diesel,691
97000.0,24000.0,299,1,2,1,Self,No History,Petrol,686
70000.0,23525.0,197,0,2,1,Govt,Ongoing,Petrol,621
68000.0,12000.0,393,0,2,0,Self,No History,Electric,662
297000.0,11000.0,111,0,2,1,MNC,Ongoing,Diesel,649
210000.0,24000.0,502,1,2,1,MNC,Ongoing,Electric,669
42900.0,15000.0,595,1,1,0,Self,Paid,Petrol,771
140000.0,16000.0,184,1,2,1,MNC,No History,Diesel,660
90000.0,15000.0,256,1,2,0,MNC,Paid,Electric,709
60000.0,5000.0,553,1,2,0,Govt,Ongoing,Electric,690
115000.0,19100.0,222,0,2,0,Govt,Ongoing,Electric,674
85000.0,15000.0,259,0,1,1,Self,Paid,Diesel,702
85000.0,30000.0,440,1,1,0,MNC,Paid,Petrol,741
60000.0,15000.0,329,1,2,1,Govt,Paid,Electric,764
105000.0,3500.0,219,1,2,1,Govt,Ongoing,Electric,613
130000.0,20000.0,308,1,2,1,MNC,Ongoing,Petrol,664
30160.0,10000.0,195,0,2,0,MNC,No History,Diesel,684
132500.0,35000.0,493,1,2,1,MNC,No History,Electric,705
90000.0,16000.0,135,1,2,0,MNC,No History,Petrol,669
180000.0,2000.0,261,0,1,1,Govt,Paid,Diesel,714
39500.0,12000.0,381,0,1,1,Govt,No History,Diesel,716
80000.0,8000.0,545,0,0,1,MNC,Ongoing,Diesel,606
92000.0,10000.0,504,0,2,0,Self,No History,Electric,711
76500.0,25000.0,488,0,1,0,Self,Paid,Petrol,720
100000.0,35000.0,539,0,1,1,MNC,Ongoing,Petrol,616
150000.0,25600.0,463,0,2,1,Govt,Ongoing,Electric,628
90000.0,4325.0,215,1,1,1,Govt,No History,Diesel,721
48000.0,6000.0,388,1,1,1,Govt,No History,Diesel,724
65000.0,18200.0,427,0,0,0,Self,Ongoing,Diesel,657
54000.0,10000.0,368,1,2,1,MNC,Paid,Electric,724
81000.0,30000.0,273,0,2,1,Self,No History,Electric,657
150000.0,13200.0,104,0,2,1,MNC,No History,Diesel,716
220000.0,10000.0,562,0,0,1,Self,No History,Diesel,727
75000.0,3000.0,558,0,1,1,Govt,Paid,Petrol,762
96000.0,20000.0,232,0,1,1,Self,Ongoing,Diesel,652
32500.0,13875.0,519,0,1,1,Govt,Ongoing,Petrol,680
76000.0,18000.0,251,0,1,1,MNC,No History,Diesel,716
40000.0,15225.0,510,0,0,0,MNC,Paid,Diesel,754
65000.0,16000.0,177,0,2,0,Self,Ongoing,Petrol,620
125000.0,21000.0,167,1,2,0,Govt,Ongoing,Petrol,637
40000.0,13000.0,575,0,0,0,Govt,No History,Diesel,691
120000.0,20000.0,367,1,2,1,Self,Ongoing,Electric,647
70000.0,31075.0,362,0,1,1,MNC,Paid,Diesel,793
120000.0,18000.0,269,1,2,1,Govt,No History,Petrol,674
74967.0,5000.0,382,0,1,1,Self,Paid,Diesel,708
13000.0,4675.0,466,0,0,1,Self,Ongoing,Diesel,671
85140.0,6000.0,230,0,1,1,MNC,Ongoing,Diesel,666
90000.0,12000.0,107,1,2,1,Govt,Ongoing,Diesel,680
115000.0,13000.0,469,1,0,1,MNC,Ongoing,Diesel,641
50000.0,1800.0,306,0,2,1,MNC,Paid,Petrol,729
114000.0,4475.0,575,0,1,1,MNC,Ongoing,Petrol,634
70000.0,14400.0,436,1,2,1,Self,Ongoing,Electric,678
70000.0,5875.0,318,0,2,1,Self,No History,Petrol,672
180000.0,20000.0,592,1,0,1,MNC,Paid,Diesel,792
115000.0,10000.0,576,0,2,1,MNC,Paid,Electric,746
92892.0,34100.0,224,0,2,1,Govt,Paid,Electric,737
56457.0,24000.0,529,0,2,1,Govt,No History,Electric,711
300000.0,30000.0,136,0,2,0,Self,No History,Electric,679
160000.0,5200.0,266,1,2,1,MNC,Ongoing,Electric,669
50000.0,16800.0,136,0,2,1,MNC,No History,Diesel,668
40000.0,10000.0,205,1,1,1,Self,Paid,Diesel,731
55000.0,22000.0,588,0,1,1,Govt,Ongoing,Petrol,639
144000.0,28000.0,587,1,2,1,Self,No History,Electric,701
60000.0,7200.0,108,1,2,1,Govt,No History,Petrol,705
41000.0,18000.0,506,1,1,1,MNC,Paid,Petrol,785
30000.0,8400.0,573,1,2,1,MNC,Ongoing,Electric,682
67000.0,5000.0,378,0,1,1,Self,No History,Diesel,696
55000.0,5000.0,125,1,2,0,Govt,No History,Diesel,708
60000.0,2400.0,173,1,2,0,Govt,No History,Diesel,659
60000.0,15000.0,288,1,2,1,Self,Ongoing,Electric,626
64400.0,6075.0,556,1,0,1,Govt,Ongoing,Diesel,602
55000.0,20000.0,405,1,2,1,Self,Paid,Electric,734
110000.0,6025.0,433,1,2,1,MNC,Ongoing,Electric,679
70000.0,8400.0,188,1,2,1,Self,Ongoing,Diesel,638
90000.0,15000.0,104,0,2,1,MNC,No History,Diesel,724
72000.0,19200.0,350,1,2,0,MNC,No History,Electric,691
143000.0,12000.0,248,0,1,1,Self,Ongoing,Diesel,667
60000.0,28800.0,441,1,2,1,Govt,Ongoing,Electric,676
60000.0,5000.0,582,0,1,1,MNC,Paid,Petrol,716
60000.0,5000.0,127,0,2,1,Govt,Ongoing,Electric,623
120000.0,31500.0,347,0,1,1,Govt,Paid,Diesel,749
165000.0,24000.0,309,0,1,1,MNC,No History,Diesel,673
110000.0,20000.0,386,0,2,0,Self,Ongoing,Petrol,618
110000.0,24000.0,215,0,2,1,MNC,No History,Electric,675
65000.0,21850.0,418,0,1,1,MNC,Ongoing,Petrol,673
126500.0,9500.0,547,0,1,1,MNC,No History,Petrol,716
98000.0,20000.0,327,1,1,1,Govt,No History,Diesel,664
59000.0,20000.0,352,0,2,0,MNC,Ongoing,Petrol,629
135000.0,20000.0,599,0,0,0,Govt,Ongoing,Diesel,600
65000.0,20000.0,507,0,1,1,Self,No History,Petrol,724
78000.0,25200.0,301,0,2,0,Govt,No History,Petrol,725
50000.0,12000.0,266,0,2,1,Govt,Ongoing,Petrol,634
65000.0,10000.0,357,1,2,1,MNC,Paid,Petrol,744
36500.0,12000.0,395,0,2,1,Self,Ongoing,Electric,613
75000.0,12000.0,450,0,2,1,Self,Ongoing,Electric,679
41000.0,6425.0,377,1,2,1,MNC,No History,Electric,685
32760.0,12700.0,402,1,0,1,MNC,Ongoing,Diesel,623
121000.0,35000.0,556,0,0,1,MNC,Paid,Diesel,782
110000.0,16000.0,464,1,0,0,Self,Ongoing,Diesel,606
48000.0,15000.0,369,1,1,0,Govt,Paid,Diesel,752
60000.0,20550.0,398,1,2,1,Self,No History,Electric,664
127000.0,25000.0,462,1,2,1,Self,No History,Electric,671
115000.0,14000.0,525,1,0,1,MNC,Paid,Diesel,774
47000.0,16925.0,216,0,2,0,MNC,Ongoing,Petrol,678
22000.0,4700.0,444,0,0,1,Self,No History,Diesel,693
25000.0,5000.0,425,1,0,1,Self,Ongoing,Diesel,639
92500.0,12000.0,268,0,2,1,Govt,Ongoing,Petrol,612
55000.0,12000.0,390,1,2,1,MNC,Ongoing,Electric,629
117000.0,15000.0,261,0,1,1,Govt,Ongoing,Diesel,646
123000.0,4900.0,180,0,2,1,MNC,No History,Petrol,666
70000.0,18000.0,391,0,2,1,Govt,No History,Petrol,652
48000.0,18000.0,183,1,2,0,MNC,No History,Electric,666
120000.0,25000.0,595,0,1,0,MNC,No History,Petrol,685
50000.0,15000.0,332,1,1,1,Govt,Ongoing,Diesel,659
97000.0,3600.0,153,1,2,1,MNC,Paid,Diesel,791
92250.0,33000.0,545,0,1,1,MNC,Ongoing,Petrol,659
68000.0,14950.0,355,0,2,1,Govt,Paid,Electric,704
154000.0,15000.0,433,0,2,1,Govt,Paid,Electric,795
30100.0,7000.0,160,0,2,1,Self,Paid,Petrol,701
35300.0,15000.0,287,1,2,0,MNC,No History,Petrol,679
98000.0,35000.0,224,1,1,1,Govt,Paid,Diesel,738
58000.0,8000.0,102,1,2,1,Self,No History,Electric,689
40000.0,20000.0,176,1,2,0,MNC,Paid,Electric,786
80000.0,14375.0,518,0,2,1,Self,Paid,Electric,717
85000.0,21000.0,356,0,2,1,Self,Ongoing,Petrol,634
65000.0,3700.0,208,0,1,1,Govt,Ongoing,Diesel,645
85000.0,8400.0,303,1,1,0,MNC,No History,Diesel,652
22000.0,7200.0,255,1,2,1,Govt,Ongoing,Electric,622
85400.0,16800.0,178,1,2,1,MNC,No History,Electric,721
150000.0,9000.0,389,0,2,1,MNC,Ongoing,Petrol,662
43700.0,6000.0,444,1,1,1,MNC,Ongoing,Petrol,654
76497.0,34000.0,299,0,2,1,MNC,Ongoing,Electric,614
67000.0,20000.0,198,0,2,0,Self,Ongoing,Petrol,680
91000.0,16000.0,499,1,0,0,MNC,No History,Diesel,715
70000.0,11200.0,458,1,2,1,MNC,Ongoing,Electric,663
95000.0,21000.0,137,1,2,0,Govt,No History,Diesel,679
65000.0,16000.0,180,0,2,0,Self,Paid,Electric,767
50000.0,6000.0,598,1,2,1,Self,Paid,Electric,740
84000.0,9100.0,381,1,2,1,Self,Paid,Petrol,757
60000.0,10000.0,288,0,2,1,Govt,No History,Petrol,694
135000.0,28000.0,112,1,2,0,Govt,No History,Petrol,703
115000.0,30000.0,473,0,2,0,Self,Ongoing,Electric,681
37380.0,8450.0,329,0,2,1,Self,No History,Petrol,704
75000.0,8775.0,450,1,1,1,Govt,Ongoing,Petrol,641
72000.0,6000.0,586,1,0,1,Self,No History,Diesel,708
75000.0,10000.0,158,1,2,1,Govt,Ongoing,Electric,644
128000.0,10000.0,542,1,0,0,MNC,Ongoing,Diesel,667
22000.0,7200.0,434,1,0,1,MNC,Ongoing,Diesel,673
75000.0,20000.0,251,1,2,1,Govt,No History,Petrol,679
95750.0,20000.0,333,0,1,0,Govt,Paid,Diesel,753
130000.0,5000.0,473,1,0,1,Self,Ongoing,Diesel,613
35179.0,15000.0,279,0,2,0,Self,Ongoing,Petrol,634
160000.0,23950.0,404,1,0,0,Govt,Paid,Diesel,772
160000.0,15000.0,594,1,2,1,MNC,No History,Electric,700
60000.0,2250.0,441,0,2,1,MNC,Paid,Electric,744
40000.0,14000.0,260,1,1,1,Self,Ongoing,Diesel,677
80000.0,14000.0,425,1,0,0,Govt,Paid,Diesel,705
83000.0,18000.0,454,1,1,1,Govt,Paid,Petrol,720
72500.0,12000.0,138,0,2,1,MNC,Ongoing,Petrol,647
46000.0,5600.0,150,1,2,1,MNC,Paid,Electric,762
83000.0,35000.0,405,0,0,1,Self,No History,Diesel,671
43500.0,8000.0,333,1,2,0,Self,Ongoing,Petrol,606
26000.0,2400.0,323,1,1,1,MNC,No History,Diesel,703
98000.0,35000.0,310,1,2,1,Govt,No History,Petrol,713
140000.0,35000.0,163,1,2,0,MNC,Paid,Petrol,768
55000.0,7000.0,250,1,2,1,MNC,Paid,Petrol,789
23200.0,8000.0,189,0,2,1,MNC,Paid,Electric,714
70000.0,6125.0,464,0,2,1,Self,No History,Electric,696
150000.0,10400.0,288,1,1,0,Govt,No History,Diesel,721
134000.0,30000.0,379,0,1,1,Self,No History,Diesel,668
30000.0,4000.0,597,1,1,1,Govt,Ongoing,Petrol,643
125000.0,10000.0,564,0,2,1,Self,Ongoing,Electric,644
50000.0,16000.0,127,1,2,1,MNC,Ongoing,Electric,662
67000.0,24000.0,186,1,2,0,Self,No History,Electric,696
56600.0,19225.0,256,1,2,0,Govt,Ongoing,Electric,637
130000.0,13000.0,530,0,1,0,MNC,No History,Petrol,726
52000.0,16800.0,342,1,1,0,MNC,Ongoing,Diesel,610
35037.0,2000.0,266,0,2,1,MNC,Ongoing,Electric,675
50000.0,19200.0,154,0,2,1,Self,Paid,Diesel,714
140000.0,10000.0,276,0,2,1,MNC,No History,Petrol,678
165000.0,35000.0,405,1,0,1,Govt,Paid,Diesel,740
60000.0,15000.0,599,0,1,1,MNC,No History,Petrol,683
84468.0,35000.0,465,1,0,1,MNC,Ongoing,Diesel,644
55000.0,18000.0,478,0,2,1,MNC,Paid,Electric,793
40000.0,8000.0,404,1,2,0,Govt,No History,Electric,723
50000.0,15000.0,352,1,2,1,MNC,Ongoing,Petrol,666
175000.0,17400.0,213,0,1,1,Govt,No History,Diesel,703
156000.0,35000.0,335,0,2,1,Govt,Ongoing,Petrol,630
100000.0,12000.0,178,1,2,1,MNC,Ongoing,Electric,627
66000.0,24000.0,241,1,2,1,MNC,Ongoing,Electric,619
66500.0,8000.0,571,1,2,1,Govt,Paid,Electric,766
74000.0,16775.0,422,1,1,1,Govt,Ongoing,Petrol,655
48000.0,8000.0,353,1,2,1,Govt,No History,Electric,691
100000.0,21000.0,189,1,2,1,Self,Ongoing,Electric,617
150000.0,20000.0,320,0,1,0,Self,Ongoing,Diesel,626
113000.0,10000.0,471,1,2,1,Self,Paid,Electric,763
81120.0,6000.0,283,0,2,1,Govt,No History,Petrol,664
54744.0,6000.0,229,0,2,1,Govt,No History,Petrol,670
80000.0,8400.0,569,1,2,1,Self,Ongoing,Electric,689
33000.0,10000.0,348,0,2,1,Self,Paid,Electric,796
72000.0,6000.0,388,1,2,1,Self,Paid,Petrol,728
70000.0,20000.0,381,0,1,1,MNC,Paid,Diesel,750
14688.0,4600.0,212,1,2,1,Govt,Paid,Electric,782
50000.0,20000.0,207,0,2,1,Self,No History,Petrol,699
48112.0,15000.0,291,1,2,1,Self,No History,Petrol,723
40000.0,12000.0,269,1,2,1,Self,No History,Petrol,685
75000.0,5000.0,101,0,2,1,Self,Paid,Electric,761
57000.0,6000.0,404,1,0,1,Govt,Ongoing,Diesel,683
34000.0,10050.0,340,0,1,0,Self,No History,Diesel,660
43000.0,6000.0,327,0,2,1,Self,Paid,Electric,760
84000.0,28000.0,132,1,2,0,Govt,Paid,Diesel,767
81000.0,15000.0,106,1,2,1,Self,Paid,Diesel,776
168400.0,10500.0,525,0,0,1,Govt,No History,Diesel,711
34000.0,10000.0,581,0,1,1,MNC,Paid,Petrol,755
62000.0,3600.0,195,0,2,1,Govt,Paid,Diesel,739
72000.0,10000.0,286,1,1,1,Self,Paid,Diesel,744
